,COOLDUTY.0,ES0_TEMP.0,HTR_DUTY.0,SNK_TEMP.0,COOLDUTY.1,ES0_TEMP.1,HTR_DUTY.1,SNK_TEMP.1,COOLDUTY.2,ES0_TEMP.2,HTR_DUTY.2,SNK_TEMP.2,COOLDUTY.3,ES0_TEMP.3,HTR_DUTY.3,SNK_TEMP.3,COOLDUTY.4,ES0_TEMP.4,HTR_DUTY.4,SNK_TEMP.4,COOLDUTY.5,ES0_TEMP.5,HTR_DUTY.5,SNK_TEMP.5,COOLDUTY.6,ES0_TEMP.6,HTR_DUTY.6,SNK_TEMP.6,COOLDUTY.7,ES0_TEMP.7,HTR_DUTY.7,SNK_TEMP.7
0,0.0,70.5,0.0,32.5,0.0,71.2,0.0,30.2,0.0,65.7,0.0,33.5,0.0,73.8,0.0,31.7,0.0,74.5,0.0,33.0,0.0,57.3,0.0,31.8,0.0,66.2,0.0,27.6,0.0,62.5,0.0,26.9
1,0.0,70.5,0.0,32.4,0.0,70.8,0.0,30.1,0.0,73.5,0.0,33.4,0.0,74.0,0.0,31.7,0.0,75.8,0.0,32.9,0.0,65.2,0.0,31.8,0.0,66.5,0.0,27.6,0.0,69.8,0.0,26.9
2,0.0,-99.9,0.0,32.4,0.0,-99.9,0.0,30.1,0.0,-99.9,0.0,33.4,0.0,-99.9,0.0,31.6,0.0,-99.9,0.0,32.9,0.0,-99.9,0.0,31.7,0.0,-99.9,0.0,27.5,0.0,-99.9,0.0,26.8
3,0.0,-99.9,0.0,32.3,0.0,-99.9,0.0,30.0,0.0,-99.9,0.0,33.3,0.0,-99.9,0.0,31.5,0.0,-99.9,0.0,32.8,0.0,-99.9,0.0,31.6,0.0,-99.9,0.0,27.5,0.0,-99.9,0.0,26.8
4,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
5,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
6,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
7,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
8,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
